CODE_ETU,NOTE_S1,RESULT_S1,NOTE_S2,RESULT_S2,NOTE_S3,RESULT_S3,NOTE_S4,RESULT_S4,NOTE_ANNE_1,RESULT_ANNE_1,NOTE_ANEE_2,RESULT_ANNE_2,PARCOURS,ANNE_1,ANNE_2
9007198.0,1.95,NV,0.0,NP,0.0,NP,0.0,NP,0.98,NV,0.0,NP,BCG,2014.0,2021.0
10048467.0,5.2,NV,3.47,NV,2.68,NV,0.0,NP,4.33,NV,1.34,NV,BCG,2014.0,2014.0
10048490.0,8.41,AC,5.18,NV,1.17,NV,0.0,NP,6.8,NV,0.58,NV,BCG,2014.0,2014.0
10048675.0,6.28,NV,4.51,NV,1.45,NV,0.0,NP,5.4,NV,0.72,NV,BCG,2014.0,2014.0
11010373.0,6.67,NV,3.45,NV,4.25,NV,0.0,NP,5.06,NV,2.13,NV,BCG,2014.0,2014.0
11011713.0,6.8,NV,6.5,NV,4.85,NV,0.0,NP,6.65,NV,2.42,NV,BCG,2014.0,2014.0
11012827.0,4.87,NV,5.53,NV,0.22,NV,0.0,NP,5.2,NV,0.11,NV,BCG,2014.0,2014.0
11013259.0,3.75,NV,3.59,NV,0.23,NV,0.0,NP,3.67,NV,0.12,NV,BCG,2014.0,2014.0
11013282.0,8.65,AC,8.06,AC,3.06,NV,0.0,NP,8.36,AC,1.53,NV,BCG,2014.0,2014.0
11013286.0,5.76,NV,1.88,NV,0.0,NP,0.0,NP,3.82,NV,0.0,NP,BCG,2014.0,2014.0
11013299.0,6.33,NV,7.94,AC,5.3,NV,3.73,NV,7.14,AC,4.52,NV,BCG,2014.0,2014.0
11013303.0,8.17,AC,8.12,AC,4.91,NV,5.56,NV,8.14,AC,5.23,NV,BCG,2014.0,2014.0
12005831.0,8.37,AC,4.99,NV,0.0,NP,0.0,NP,6.68,NV,0.0,NP,BCG,2013.0,2014.0
12005967.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,
12006095.0,8.41,AC,8.17,AC,3.9,NV,0.0,NP,8.29,AC,1.95,NV,BCG,2014.0,2014.0
12006411.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,2014.0
12006494.0,5.13,NV,8.95,AC,6.33,NV,3.99,NV,7.04,AC,5.16,NV,BCG,2014.0,2014.0
12006858.0,0.0,NP,1.78,NV,0.0,NP,0.0,NP,0.89,NV,0.0,NP,BCG,,
12007338.0,3.33,NV,1.67,NV,0.0,NP,0.0,NP,2.5,NV,0.0,NP,BCG,2014.0,2014.0
12008132.0,7.98,AC,8.27,AC,1.2,NV,1.67,NV,8.12,AC,1.43,NV,BCG,2014.0,2014.0
12010910.0,8.33,AC,9.5,AC,7.57,AC,4.52,NV,8.92,AC,6.05,NV,BCG,2014.0,2014.0
12011050.0,6.47,NV,9.7,AC,9.45,AC,7.97,AC,8.09,AC,8.71,AC,BCG,2014.0,2014.0
12011067.0,7.82,AC,9.79,AC,7.85,AC,3.96,NV,8.8,AC,5.9,NV,BCG,2014.0,2014.0
12011093.0,1.82,NV,1.17,NV,0.0,NP,0.0,NP,1.49,NV,0.0,NP,BCG,2014.0,2014.0
12011098.0,6.62,NV,7.34,AC,5.22,NV,2.61,NV,6.98,NV,3.92,NV,BCG,2014.0,2014.0
12011115.0,8.45,AC,7.42,AC,3.79,NV,2.4,NV,7.94,AC,3.1,NV,BCG,2014.0,2014.0
12011128.0,7.35,AC,3.53,NV,1.67,NV,0.0,NP,5.44,NV,0.83,NV,BCG,2014.0,2014.0
12011130.0,8.79,AC,4.92,NV,3.42,NV,0.0,NP,6.86,NV,1.71,NV,BCG,2014.0,2014.0
12011135.0,8.84,AC,9.85,AC,5.83,NV,2.7,NV,9.34,AC,4.27,NV,BCG,2014.0,2014.0
12011138.0,3.39,NV,1.0,NV,0.0,NP,0.0,NP,2.19,NV,0.0,NP,BCG,2014.0,2014.0
12011156.0,3.36,NV,2.13,NV,0.0,NP,0.0,NP,2.75,NV,0.0,NP,BCG,2014.0,2014.0
12011178.0,6.17,NV,3.52,NV,4.64,NV,0.0,NP,4.85,NV,2.32,NV,BCG,2014.0,2014.0
12011179.0,8.17,AC,8.0,AC,8.52,AC,2.67,NV,8.08,AC,5.6,NV,BCG,2014.0,2014.0
12011207.0,7.01,AC,3.63,NV,1.17,NV,0.0,NP,5.32,NV,0.58,NV,BCG,2014.0,2014.0
12011212.0,4.78,NV,2.98,NV,1.32,NV,0.0,NP,3.88,NV,0.66,NV,BCG,2014.0,2014.0
12011235.0,3.62,NV,0.0,NP,0.0,NP,0.0,NP,1.81,NV,0.0,NP,BCG,2014.0,2014.0
12011373.0,8.58,AC,9.74,AC,7.55,AC,5.69,NV,9.16,AC,6.62,NV,BCG,2014.0,2014.0
