CODE_ETU,PARCOURS
9007198.0,BCG
10048467.0,BCG
10048490.0,BCG
10048675.0,BCG
11010373.0,BCG
11011713.0,BCG
11012827.0,BCG
11013259.0,BCG
11013282.0,BCG
11013286.0,BCG
11013299.0,BCG
11013303.0,BCG
12005831.0,BCG
12005967.0,BCG
12006095.0,BCG
12006411.0,BCG
12006494.0,BCG
12006858.0,BCG
12007338.0,BCG
12008132.0,BCG
12010910.0,BCG
12011050.0,BCG
12011067.0,BCG
12011093.0,BCG
12011098.0,BCG
12011115.0,BCG
12011128.0,BCG
12011130.0,BCG
12011135.0,BCG
12011138.0,BCG
12011156.0,BCG
12011178.0,BCG
12011179.0,BCG
12011207.0,BCG
12011212.0,BCG
12011235.0,BCG
12011373.0,BCG
12011378.0,BCG
12011382.0,BCG
12011549.0,BCG
12011564.0,BCG
12011566.0,BCG
12011575.0,BCG
12011579.0,BCG
12011595.0,BCG
12011598.0,BCG
12011600.0,BCG
12011618.0,BCG
12011621.0,BCG
12011628.0,BCG
12011644.0,BCG
12011662.0,BCG
12011664.0,BCG
12011666.0,BCG
12011667.0,BCG
12011668.0,BCG
12011692.0,BCG
12011695.0,BCG
12011705.0,BCG
12011713.0,BCG
12011726.0,BCG
12011780.0,BCG
12011785.0,BCG
12011789.0,BCG
12011809.0,BCG
12011867.0,BCG
12011872.0,BCG
12011874.0,BCG
12011883.0,BCG
12011898.0,BCG
12011899.0,BCG
12011925.0,BCG
12011940.0,BCG
12011960.0,BCG
12012355.0,BCG
12012361.0,BCG
12012403.0,BCG
12012443.0,BCG
12012449.0,BCG
12012455.0,BCG
12012558.0,BCG
12012559.0,BCG
12012676.0,BCG
12012775.0,BCG
12012899.0,BCG
13010014.0,BCG
13010024.0,BCG
13010027.0,BCG
13010028.0,BCG
13010634.0,BCG
13010797.0,BCG
13010975.0,BCG
13011117.0,BCG
13011190.0,BCG
13011225.0,BCG
13011263.0,BCG
13011265.0,BCG
13011269.0,BCG
13011318.0,BCG
13011379.0,BCG
13011424.0,BCG
13011436.0,BCG
13011439.0,BCG
13011472.0,BCG
13011474.0,BCG
13011494.0,BCG
13011534.0,BCG
13011712.0,BCG
13011721.0,BCG
13012011.0,BCG
13012015.0,BCG
13012042.0,BCG
13012055.0,BCG
13012118.0,BCG
13012136.0,BCG
13012156.0,BCG
13012176.0,BCG
13012223.0,BCG
13012249.0,BCG
13012266.0,BCG
13012277.0,BCG
13012297.0,BCG
13012299.0,BCG
13012304.0,BCG
13012310.0,BCG
13012324.0,BCG
13012339.0,BCG
13012344.0,BCG
13012358.0,BCG
13012363.0,BCG
13012370.0,BCG
13012387.0,BCG
13012396.0,BCG
13012397.0,BCG
13012427.0,BCG
13012458.0,BCG
13012469.0,BCG
13012475.0,BCG
13012487.0,BCG
13012505.0,BCG
13012523.0,BCG
13012547.0,BCG
13012558.0,BCG
13012564.0,BCG
13012634.0,BCG
13012646.0,BCG
13012707.0,BCG
13012711.0,BCG
13012726.0,BCG
13012731.0,BCG
13012743.0,BCG
13012783.0,BCG
13012801.0,BCG
13012802.0,BCG
13012803.0,BCG
13012807.0,BCG
13012808.0,BCG
13012823.0,BCG
13012905.0,BCG
13012911.0,BCG
13012939.0,BCG
13012949.0,BCG
13012967.0,BCG
13012975.0,BCG
13013038.0,BCG
13013054.0,BCG
13013056.0,BCG
13013061.0,BCG
13013094.0,BCG
13013098.0,BCG
13013107.0,BCG
13013122.0,BCG
13013123.0,BCG
13013124.0,BCG
13013130.0,BCG
13013139.0,BCG
13013148.0,BCG
13013159.0,BCG
13013160.0,BCG
13013174.0,BCG
13013177.0,BCG
13013180.0,BCG
13013184.0,BCG
13013185.0,BCG
13013197.0,BCG
13013278.0,BCG
13013398.0,BCG
13013443.0,BCG
13013474.0,BCG
13013531.0,BCG
13013602.0,BCG
13013632.0,BCG
13013652.0,BCG
13013660.0,BCG
13013661.0,BCG
13013684.0,BCG
13013695.0,BCG
13013696.0,BCG
13013700.0,BCG
13013707.0,BCG
13013843.0,BCG
13013968.0,BCG
13013972.0,BCG
13013976.0,BCG
13014089.0,BCG
13014092.0,BCG
13014121.0,BCG
13014136.0,BCG
13014135.0,BCG
13014173.0,BCG
13014235.0,BCG
13014293.0,BCG
13014308.0,BCG
13014362.0,BCG
13014363.0,BCG
13014365.0,BCG
13014380.0,BCG
13014462.0,BCG
13014463.0,BCG
13014678.0,BCG
13014701.0,BCG
13014755.0,BCG
13014757.0,BCG
13014920.0,BCG
13014980.0,BCG
13014984.0,BCG
13014993.0,BCG
13014995.0,BCG
13015324.0,BCG
13015390.0,BCG
13015691.0,BCG
13015697.0,BCG
13015767.0,BCG
13016482.0,BCG
13016884.0,BCG
13018251.0,BCG
14000005.0,BCG
14000007.0,BCG
14000010.0,BCG
14000013.0,BCG
14000015.0,BCG
14000018.0,BCG
14000019.0,BCG
14000020.0,BCG
14000022.0,BCG
14000023.0,BCG
14000024.0,BCG
14000025.0,BCG
14000026.0,BCG
14000027.0,BCG
14000028.0,BCG
14000034.0,BCG
14000039.0,BCG
14000046.0,BCG
14000049.0,BCG
14000055.0,BCG
14000062.0,BCG
14000065.0,BCG
14000067.0,BCG
14000068.0,BCG
14000070.0,BCG
14000071.0,BCG
14000073.0,BCG
14000075.0,BCG
14000076.0,BCG
14000077.0,BCG
14000081.0,BCG
14000083.0,BCG
14000085.0,BCG
14000090.0,BCG
14000093.0,BCG
14000096.0,BCG
14000099.0,BCG
14000103.0,BCG
14000106.0,BCG
14000112.0,BCG
14000117.0,BCG
14000118.0,BCG
14000120.0,BCG
14000121.0,BCG
14000123.0,BCG
14000126.0,BCG
14000130.0,BCG
14000132.0,BCG
14000133.0,BCG
14000135.0,BCG
14000136.0,BCG
14000138.0,BCG
14000140.0,BCG
14000141.0,BCG
14000143.0,BCG
14000144.0,BCG
14000146.0,BCG
14000147.0,BCG
14000149.0,BCG
14000150.0,BCG
14000161.0,BCG
14000165.0,BCG
14000168.0,BCG
14000171.0,BCG
14000174.0,BCG
14000181.0,BCG
14000183.0,BCG
14000189.0,BCG
14000195.0,BCG
14000199.0,BCG
14000206.0,BCG
14000209.0,BCG
14000212.0,BCG
14000216.0,BCG
14000219.0,BCG
14000222.0,BCG
14000223.0,BCG
14000225.0,BCG
14000228.0,BCG
14000230.0,BCG
14000235.0,BCG
14000238.0,BCG
14000237.0,BCG
14000241.0,BCG
14000243.0,BCG
14000244.0,BCG
14000249.0,BCG
14000253.0,BCG
14000257.0,BCG
14000261.0,BCG
14000264.0,BCG
14000267.0,BCG
14000270.0,BCG
14000277.0,BCG
14000281.0,BCG
14000285.0,BCG
14000288.0,BCG
14000291.0,BCG
14000297.0,BCG
14000299.0,BCG
14000300.0,BCG
14000301.0,BCG
14000302.0,BCG
14000305.0,BCG
14000306.0,BCG
14000308.0,BCG
14000310.0,BCG
14000311.0,BCG
14000314.0,BCG
14000313.0,BCG
14000316.0,BCG
14000318.0,BCG
14000320.0,BCG
14000322.0,BCG
14000324.0,BCG
14000327.0,BCG
14000328.0,BCG
14000330.0,BCG
14000331.0,BCG
14000332.0,BCG
14000335.0,BCG
14000336.0,BCG
14000339.0,BCG
14000338.0,BCG
14000341.0,BCG
14000353.0,BCG
14000361.0,BCG
14000364.0,BCG
14000366.0,BCG
14000368.0,BCG
14000372.0,BCG
14000374.0,BCG
14000376.0,BCG
14000380.0,BCG
14000384.0,BCG
14000388.0,BCG
14000391.0,BCG
14000394.0,BCG
14000398.0,BCG
14000400.0,BCG
14000402.0,BCG
14000405.0,BCG
14000404.0,BCG
14000408.0,BCG
14000407.0,BCG
14000409.0,BCG
14000412.0,BCG
14000413.0,BCG
14000415.0,BCG
14000417.0,BCG
14000419.0,BCG
14000420.0,BCG
14000421.0,BCG
14000422.0,BCG
14000426.0,BCG
14000435.0,BCG
14000441.0,BCG
14000444.0,BCG
14000445.0,BCG
14000450.0,BCG
14000454.0,BCG
14000458.0,BCG
14000461.0,BCG
14000463.0,BCG
14000466.0,BCG
14000468.0,BCG
14000470.0,BCG
14000471.0,BCG
14000472.0,BCG
